game_index,bet_type,model_prob,market_prob,kelly_fraction,fractional_kelly_used,bet_size,profit,expected_value,bankroll_before,bankroll_after
0,kelly,0.5361682616027775,0.5121951219512195,0.04914493628569391,9.828987257138783e-05,0.09828987257138783,0.09360940244894078,0.004600428119095071,1000.0,1000.0936094024489
1,kelly,0.745836923406224,0.5073891625615764,0.48404895451463464,0.0009680979090292693,0.9681885320960456,0.9399888661126654,0.45500062789723256,1000.0936094024489,1001.0335982685616
2,kelly,0.8209824262391552,0.6923076923076923,0.4181928852772544,0.0008363857705545088,0.8372502574388035,-0.8372502574388035,0.15561426704775874,1001.0335982685616,1000.1963480111228
3,kelly,0.7535172977259679,0.4545454545454545,0.5481150458309412,0.0010962300916618824,1.0964453342601133,-1.0964453342601133,0.7211738215669243,1000.1963480111228,999.0999026768627
4,kelly,0.6630139915864023,0.5238095238095238,0.29232938233144473,0.0005846587646628895,0.5841325148738676,0.5310295589762433,0.1552355429752647,999.0999026768627,999.6309322358389
5,kelly,0.6790816914822753,0.6551724137931034,0.06933690529859832,0.00013867381059719664,0.13862263056397184,-0.13862263056397184,0.005058770635608792,999.6309322358389,999.492309605275
6,none,0.6854616385221635,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,999.492309605275,999.492309605275
7,none,0.32705724406499515,0.5867768595041323,0.0,0.0,0.0,0.0,0.0,999.492309605275,999.492309605275
8,kelly,0.5226305432682952,0.4444444444444444,0.14073497788293135,0.00028146995576586273,0.2813270561729167,-0.2813270561729167,0.04949069628545699,999.492309605275,999.210982549102
9,kelly,0.6486932926809117,0.5918367346938775,0.13929856706823365,0.0002785971341364673,0.2783773161358635,0.19198435595576793,0.026743145684156186,999.210982549102,999.4029669050578
10,none,0.4724514245881488,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,999.4029669050578,999.4029669050578
11,kelly,0.6580709051621167,0.6,0.14517726290529193,0.00029035452581058387,0.2901811745494087,0.1934541163662725,0.028085139111817287,999.4029669050578,999.5964210214241
12,kelly,0.6084108588110713,0.3773584905660377,0.3710841065753569,0.0007421682131507138,0.741868689661319,-0.741868689661319,0.4542378718336823,999.5964210214241,998.8545523317628
13,kelly,0.43416223930148923,0.3937007874015748,0.06673512196479388,0.00013347024392958777,0.13331736074989958,-0.13331736074989958,0.013701303507690221,998.8545523317628,998.7212349710129
14,kelly,0.7352780804578511,0.5833333333333334,0.3646673930988427,0.0007293347861976854,0.7284021383786721,-0.7284021383786721,0.18973179209298052,998.7212349710129,997.9928328326342
15,none,0.5369985505053125,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,997.9928328326342,997.9928328326342
16,kelly,0.5477952016817147,0.5238095238095238,0.0503699235316008,0.0001007398470632016,0.10053764534973089,0.09139785940884625,0.004603703189375585,997.9928328326342,998.0842306920431
17,none,0.35032955699156554,0.5348837209302325,0.0,0.0,0.0,0.0,0.0,998.0842306920431,998.0842306920431
18,none,0.4057856114559927,0.4807692307692308,0.0,0.0,0.0,0.0,0.0,998.0842306920431,998.0842306920431
19,none,0.491148789661482,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,998.0842306920431,998.0842306920431
20,none,0.5276601746051602,0.574468085106383,0.0,0.0,0.0,0.0,0.0,998.0842306920431,998.0842306920431
21,none,0.4299115531899683,0.5,0.0,0.0,0.0,0.0,0.0,998.0842306920431,998.0842306920431
22,kelly,0.6888197270004833,0.5121951219512195,0.3620804403509908,0.0007241608807019816,0.7227735555127096,-0.7227735555127096,0.2492401592896126,998.0842306920431,997.3614571365304
23,kelly,0.5555225292973585,0.4,0.2592042154955974,0.0005184084309911948,0.5170405881252405,-0.5170405881252405,0.20102865003657786,997.3614571365304,996.8444165484051
24,none,0.6119307134150451,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,996.8444165484051,996.8444165484051
25,none,0.22111603903808794,0.3773584905660377,0.0,0.0,0.0,0.0,0.0,996.8444165484051,996.8444165484051
26,none,0.35800525550459805,0.5918367346938775,0.0,0.0,0.0,0.0,0.0,996.8444165484051,996.8444165484051
27,none,0.49951315693428877,0.6226415094339622,0.0,0.0,0.0,0.0,0.0,996.8444165484051,996.8444165484051
28,none,0.494679311976763,0.5412844036697247,0.0,0.0,0.0,0.0,0.0,996.8444165484051,996.8444165484051
29,none,0.4767469823237501,0.5348837209302325,0.0,0.0,0.0,0.0,0.0,996.8444165484051,996.8444165484051
30,none,0.36286257512977405,0.5370370370370371,0.0,0.0,0.0,0.0,0.0,996.8444165484051,996.8444165484051
31,kelly,0.7974208607406238,0.75,0.18968344296249517,0.00037936688592499034,0.3781697620576823,0.12605658735256076,0.023910847497136234,996.8444165484051,996.9704731357576
