home_bet,away_bet,home_net,away_net,net_bets,expected_value,bankroll
1.9657974514277565,0,1.8721880489788159,0,1.8721880489788159,0.09200856238190147,201.8721880489788
19.54320431413798,0,18.973984771007743,0,18.973984771007743,9.184337491382895,220.84617281998655
0.0,18.47125964280587,0.0,8.209448730135943,8.209448730135943,3.433133050991243,229.05562155012248
0.0,25.10976650075602,0.0,30.13171980090723,30.13171980090723,16.51564897963934,259.1873413510297
15.15361508105517,0,13.776013710050153,0,13.776013710050153,4.027133578848476,272.9633550610799
0.0,3.7852868599715537,0.0,1.9922562420902912,1.9922562420902912,0.1381368823883553,274.95561130317014
0.0,0,0.0,0.0,0.0,0.0,274.95561130317014
0.0,22.84426721279823,0.0,-22.84426721279823,-22.84426721279823,12.05217977477795,252.11134409037192
0.0,7.096176886918918,0.0,8.870221108648646,8.870221108648646,1.2483503715423776,260.98156519902057
7.270871612689674,0,5.014394215648051,0,5.014394215648051,0.6984979289550126,265.9959594146686
2.931123898873082,0,-2.931123898873082,0.0,-2.931123898873082,0.16149657553916885,263.06483551579555
7.638206557362806,0,5.092137704908537,0,5.092137704908537,0.7392626143354559,268.15697322070406
0.0,19.90175816591137,0.0,32.83790097375376,32.83790097375376,12.185623144655455,300.9948741944578
0.0,4.017385928028986,0.0,6.186774329164638,6.186774329164638,0.4128751394254584,307.1816485236224
0.0,22.403826194982873,0.0,16.002732996416338,16.002732996416338,5.835674924259977,323.18438152003876
0.0,7.533477816697737,0.0,-7.533477816697737,-7.533477816697737,1.3609506129134354,315.65090370334104
3.179862376443596,0,2.890783978585087,0,2.890783978585087,0.1456085679477077,318.54168768192613
0.0,17.954564521513753,0.0,-17.954564521513753,-17.954564521513753,4.819080495406711,300.5871231604124
6.936791340676146,0,-6.936791340676146,0.0,-6.936791340676146,0.6783204139058756,293.6503318197362
0.0,12.917100051737687,0.0,-12.917100051737687,-12.917100051737687,4.829681335816548,280.7332317679985
0.0,0,0.0,0,0.0,0.0,280.7332317679985
3.042844084975085,0,-3.042844084975085,0.0,-3.042844084975085,0.13742138855390218,277.69038768302346
0.0,20.1092515707013,0.0,19.151668162572665,19.151668162572665,6.934444441760361,296.8420558455961
0.0,15.388542442311612,0.0,23.08281366346742,23.08281366346742,5.9831626070701285,319.92486950906357
0.0,0,0.0,0,0.0,0.0,319.92486950906357
0.0,21.54066194043994,0.0,-21.54066194043994,-21.54066194043994,3.6258522004271123,298.38420756862365
0.0,20.50836620837262,0.0,-20.50836620837262,-20.50836620837262,8.457413104344479,277.875841360251
0.0,7.985692127948284,0.0,-7.985692127948284,-7.985692127948284,1.606469094799408,269.8901492323027
0.0,0,0.0,0,0.0,0.0,269.8901492323027
0.0,3.7357262043492763,0.0,-3.7357262043492763,-3.7357262043492763,0.2714703154086273,266.15442302795344
0.0,15.69322283133956,0.0,-15.69322283133956,-15.69322283133956,4.904180708969546,250.46120019661387
9.501668556362498,0,3.167222852120833,0,3.167222852120833,0.6007697352197736,253.6284230487347
0.0,7.753483154948324,0.0,6.801301013112566,6.801301013112566,1.0395872079914406,260.42972406184725
7.306821938008883,0,4.871214625339255,0,4.871214625339255,0.6833532158703566,265.3009386871865
6.013172743515655,0,5.567752540292272,0,5.567752540292272,0.6309788797506153,270.86869122747873
0.0,6.368383285184118,0.0,-6.368383285184118,-6.368383285184118,1.0480876855223906,264.5003079422946
0.0,20.60721390419937,0.0,-20.60721390419937,-20.60721390419937,12.04130729176904,243.89309403809526
0.0,0,0.0,0.0,0.0,0.0,243.89309403809526
19.84839779115882,0,15.267998300891403,0,15.267998300891403,6.212666761763555,259.16109233898663
0.0,9.100674877423092,0.0,-9.100674877423092,-9.100674877423092,3.0359946531023123,250.06041746156353
11.485836804001762,0,-11.485836804001762,0.0,-11.485836804001762,3.692992033651528,238.57458065756177
28.245757341561095,0,20.92278321597118,0,20.92278321597118,12.3856417561239,259.49736387353295
9.767089445059302,0,5.581193968605316,0,5.581193968605316,1.0503386217087018,265.07855784213825
6.487355389223346,0,4.990273376325652,0,4.990273376325652,0.6106430702117263,270.0688312184639
0.0,34.1689433311617,0.0,35.87739049771979,35.87739049771979,22.69592750217996,305.9462217161837
0.0,7.461461902208877,0.0,6.783147183826251,6.783147183826251,0.8271420056323859,312.72936890000994
0.0,17.859163007393303,0.0,22.32395375924163,22.32395375924163,6.374315443383898,335.0533226592516
0.0,36.758990442920954,0.0,-36.758990442920954,-36.758990442920954,18.331185013916897,298.29433221633064
0.0,6.121220557488232,0.0,6.4272815853626435,6.4272815853626435,0.6594628848086015,304.7216138016933
22.598492372968877,0,11.770048110921294,0,11.770048110921294,4.36439901892272,316.49166191261463
0.0,0,0.0,0,0.0,0.0,316.49166191261463
20.33186207729002,0,18.653084474578,0,18.653084474578,5.991499721687354,335.14474638719264
0.0,3.6551943020356443,0.0,-3.6551943020356443,-3.6551943020356443,0.22922203553995568,331.489552085157
0.0,21.081723974441346,0.0,-21.081723974441346,-21.081723974441346,6.094242336514842,310.4078281107157
0.0,43.85433784046226,0.0,50.87103189493623,50.87103189493623,35.93523128253301,361.2788600056519
19.889628838855106,0,-19.889628838855106,0.0,-19.889628838855106,6.296201992588388,341.3892311667968
0.0,14.53663087547927,0.0,22.531777856992875,22.531777856992875,4.797107052204796,363.9210090237897
30.84656266708434,0,-30.84656266708434,0.0,-30.84656266708434,8.43421622417607,333.0744463567053
14.489076049201142,0,18.401126582485457,0,18.401126582485457,4.00233829645216,351.4755729391908
35.22902291817059,0,-35.22902291817059,0.0,-35.22902291817059,12.610956201740596,316.2465500210202
